Altium Designer Pick and Place Locations
D:\Touchpad\Altium\touchpad\Project Outputs for touchpad1\Pick Place for PCB2.csv

========================================================================================================================
File Design Information:

Date:       28/08/25
Time:       13:50
Revision:   af198f10d3bbc574382a79ac9f8286054ac401c8
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"T4","Touchpad","TopLayer","Touchpad","4470.000","3775.000","0",""
"d","MP1484","TopLayer","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1","4950.000","3435.000","270",""
"U1","220uF","TopLayer","CAP-SMD_BD6.3-L6.6-W6.6-FD","4239.990","3345.000","270",""
"C16","10uF","TopLayer","CAP-SMD_BD5.0-L5.3-W5.3-FD","4240.000","2995.600","180",""
"C2","22uF","TopLayer","C0603","4477.445","3360.000","0",""
"L1","10uH","TopLayer","IND-SMD_L6.0-W6.0_VLS6045EX-2R0N","4530.000","3090.000","270",""
"C13","6.8uF","TopLayer","C0603","5090.000","3242.555","270",""
"U3","10kohm","TopLayer","R0603","5070.345","3130.000","180",""
"R6","6.8kO","TopLayer","R0603","5204.655","3208.920","180",""
"R5","1kO","TopLayer","RES-ADJ-SMD_3P-L4.5-W4.5-P2.30-BL-FS","5126.260","2964.720","180",""
"R4","100kO","TopLayer","R0603","5205.345","3283.920","180",""
"R3","26.1kO","TopLayer","R0603","5205.345","3130.000","0",""
"R1","50kO","TopLayer","R0603","5205.345","3438.920","180",""
"C4","100nF","TopLayer","C0603","5205.002","3520.001","180",""
"C3","10uF","TopLayer","C0603","4669.998","3539.999","0",""
"C1","100nF","TopLayer","C0603","4667.445","3420.000","0",""
"T1","Touchpad","TopLayer","Touchpad","3305.000","3240.000","0",""
"T3","Touchpad","TopLayer","Touchpad","3475.000","3880.000","0",""
"T2","Touchpad","TopLayer","Touchpad","4480.000","2885.000","90",""
"U2","ESP32-PICO-MINI-02-N8R2","TopLayer","BULETM-SMD_ESP32-PICO-MINI-02-N8R2","4053.740","4046.930","0",""
"SW2","B3U-1000P","TopLayer","KEY-SMD_B3U-1000PM","3385.000","3765.000","90",""
"SW1","B3U-1000P","TopLayer","KEY-SMD_B3U-1000PM","3399.999","3544.487","90",""
"R21","100O","TopLayer","R0603","4670.000","2674.655","90",""
"R20","250O","TopLayer","R0603","4590.000","2674.655","90",""
"R19","100O","TopLayer","R0603","3295.000","3149.655","270",""
"R18","100O","TopLayer","R0603","4495.000","3965.345","90",""
"R17","250O","TopLayer","R0603","3200.000","3149.655","270",""
"R16","100O","TopLayer","R0603","3415.000","4020.345","90",""
"R15","250O","TopLayer","R0603","4580.000","3965.345","90",""
"R14","250O","TopLayer","R0603","3335.000","4020.345","90",""
"R13","10kohm","TopLayer","R0603","3490.345","4020.690","270",""
"R12","10kohm","TopLayer","R0603","4410.000","3965.345","270",""
"R11","10kohm","TopLayer","R0603","3380.000","3149.655","270",""
"R10","10kohm","TopLayer","R0603","4750.000","2674.655","90",""
"R9","10kohm","TopLayer","R0603","3299.999","3547.557","90",""
"R8","10kohm","TopLayer","R0603","3285.000","3765.345","90",""
"R2","50O","TopLayer","R0603","4474.545","3535.000","0",""
"P2","Header 4","TopLayer","HDR1X4","5260.000","4120.000","270","Header, 4-Pin"
"P1","Header 6","TopLayer","HDR1X6","3865.000","2615.000","180","Header, 6-Pin"
"LED9","XL-1608SURC-06","BottomLayer","LED0603-RD_RED","4800.210","2893.048","270",""
"LED8","XL-1608SURC-06","BottomLayer","LED0603-RD_RED","4719.862","2898.525","270",""
"LED7","XL-1608SURC-06","BottomLayer","LED0603-RD_RED","3195.138","2896.476","90",""
"LED6","XL-1608SURC-06","BottomLayer","LED0603-RD_RED","4734.790","3971.952","90",""
"LED5","XL-1608SURC-06","BottomLayer","LED0603-RD_RED","3104.790","2896.952","90",""
"LED4","XL-1608SURC-06","BottomLayer","LED0603-RD_RED","3099.718","3978.525","90",""
"LED3","XL-1608SURC-06","BottomLayer","LED0603-RD_RED","4824.862","3973.525","90",""
"LED2","XL-1608SURC-06","BottomLayer","LED0603-RD_RED","3179.718","3978.525","90",""
"LED1","XL-1608SURC-06","TopLayer","LED0603-RD_RED","4473.415","3444.862","180",""
"D1","B540CQ-13-F","TopLayer","SMC_L6.9-W5.9-LS7.9-RD","4835.000","3090.000","270",""
"C12","100nF","TopLayer","C0603","3678.146","4176.855","270",""
"C11","22uF","TopLayer","C0603","3581.858","4176.855","90",""
"C10","4.7nF","TopLayer","C0402","4220.000","3651.459","270",""
"C9","4.7nF","TopLayer","C0402","3905.000","3653.541","270",""
"C8","4.7nF","TopLayer","C0402","4120.000","3651.459","270",""
"C7","4.7nF","TopLayer","C0402","3800.000","3653.541","270",""
"C6","100nF","TopLayer","C0603","3490.000","3762.445","90",""
"C5","100nF","TopLayer","C0603","3500.000","3547.555","90",""
